"SH";"8";"";"";"";"08/01/2026 21:16:39";"08/01/2026 21:16:43";"";"";"";"C:\Users\felip\Desktop\CONSORCIO SANTOS\PROJETOS\PANTANAL BAIXO\PANTANAL ESGOTO-REV1.dwg";"NS005";"";"";"PDF24";"";"A3";"0";"Plotted"
"JF";"8";"";"";"";"";"08/01/2026 21:16:43";"";"";"";"";"";"";"";"";"";"";"";"Plotted"
"JS";"9";"";"";"";"08/01/2026 21:19:13";"";"felip";"PRO_SANE";"";"";"";"";"";"";"";"";"";""
"SH";"9";"";"";"";"08/01/2026 21:19:13";"08/01/2026 21:19:18";"";"";"";"C:\Users\felip\Desktop\CONSORCIO SANTOS\PROJETOS\PANTANAL BAIXO\PANTANAL ESGOTO-REV1.dwg";"NS006";"";"";"PDF24";"";"A3";"0";"Plotted"
"JF";"9";"";"";"";"";"08/01/2026 21:19:18";"";"";"";"";"";"";"";"";"";"";"";"Plotted"
"JS";"1";"";"";"";"11/01/2026 19:18:34";"";"felip";"PRO_SANE";"";"";"";"";"";"";"";"";"";""
"SH";"1";"";"";"";"11/01/2026 19:18:34";"11/01/2026 19:18:39";"";"";"";"C:\Users\felip\Desktop\CONSORCIO SANTOS\PROJETOS\Vila dos Criadores\Projeto Criadores- ESGOTOrev4.dwg";"NS 001";"";"";"PDF24";"";"A3";"0";"Plotted"
"JF";"1";"";"";"";"";"11/01/2026 19:18:39";"";"";"";"";"";"";"";"";"";"";"";"Plotted"
"JS";"2";"";"";"";"11/01/2026 19:47:10";"";"felip";"PRO_SANE";"";"";"";"";"";"";"";"";"";""
"SH";"2";"";"";"";"11/01/2026 19:47:10";"11/01/2026 19:47:15";"";"";"";"C:\Users\felip\Desktop\CONSORCIO SANTOS\PROJETOS\Vila dos Criadores\Projeto Criadores- ESGOTOrev4.dwg";"NS 002";"";"";"PDF24";"";"A3";"0";"Plotted"
"JF";"2";"";"";"";"";"11/01/2026 19:47:15";"";"";"";"";"";"";"";"";"";"";"";"Plotted"
"JS";"3";"";"";"";"11/01/2026 20:51:47";"";"felip";"PRO_SANE";"";"";"";"";"";"";"";"";"";""
"SH";"3";"";"";"";"11/01/2026 20:51:47";"11/01/2026 20:51:49";"";"";"";"C:\Users\felip\Desktop\CONSORCIO SANTOS\PROJETOS\TETEU-VV\-25-PROJETO ESGOTO-VERDE-E-TETEU.dwg";"NS001";"";"";"PDF24";"";"A3";"0";"Plotted"
"JF";"3";"";"";"";"";"11/01/2026 20:51:49";"";"";"";"";"";"";"";"";"";"";"";"Plotted"
"JS";"1";"";"";"";"12/01/2026 06:35:57";"";"felip";"PRO_SANE";"";"";"";"";"";"";"";"";"";""
"SH";"1";"";"";"";"";"";"";"";"";"C:\Users\felip\Desktop\CONSORCIO SANTOS\PROJETOS\TETEU-VV\-25-PROJETO ESGOTO-VERDE-E-TETEU.dwg";"NS 002-";"";"";"Microsoft Print to PDF";"";"A3";"0";"Canceled";"MESSAGE: Error : A operação foi cancelada pelo usuário.   ";"ERROR: The device has reported an unknown error. "
"JF";"1";"";"";"";"";"12/01/2026 06:35:59";"";"";"";"";"";"";"";"";"";"";"";"Canceled"
"JS";"2";"";"";"";"12/01/2026 06:36:08";"";"felip";"PRO_SANE";"";"";"";"";"";"";"";"";"";""
"SH";"2";"";"";"";"12/01/2026 06:36:08";"12/01/2026 06:36:10";"";"";"";"C:\Users\felip\Desktop\CONSORCIO SANTOS\PROJETOS\TETEU-VV\-25-PROJETO ESGOTO-VERDE-E-TETEU.dwg";"NS 002-";"";"";"PDF24";"";"A3";"0";"Plotted"
"JF";"2";"";"";"";"";"12/01/2026 06:36:10";"";"";"";"";"";"";"";"";"";"";"";"Plotted"
"JS";"3";"";"";"";"12/01/2026 06:58:34";"";"felip";"PRO_SANE";"";"";"";"";"";"";"";"";"";""
"SH";"3";"";"";"";"12/01/2026 06:58:34";"12/01/2026 06:58:36";"";"";"";"C:\Users\felip\Desktop\CONSORCIO SANTOS\PROJETOS\TETEU-VV\-25-PROJETO ESGOTO-VERDE-E-TETEU.dwg";"NS 003";"";"";"PDF24";"";"A3";"0";"Plotted"
"JF";"3";"";"";"";"";"12/01/2026 06:58:36";"";"";"";"";"";"";"";"";"";"";"";"Plotted"
"JS";"4";"";"";"";"12/01/2026 07:50:15";"";"felip";"PRO_SANE";"";"";"";"";"";"";"";"";"";""
"SH";"4";"";"";"";"12/01/2026 07:50:16";"12/01/2026 07:50:46";"";"";"";"C:\Users\felip\Desktop\CONSORCIO SANTOS\PROJETOS\TETEU-VV\-25-PROJETO ESGOTO-VERDE-E-TETEU.dwg";"A1 (1)";"";"";"PDF24";"";"A1";"0";"Plotted"
"JF";"4";"";"";"";"";"12/01/2026 07:50:46";"";"";"";"";"";"";"";"";"";"";"";"Plotted"
"JS";"5";"";"";"";"12/01/2026 07:51:34";"";"felip";"PRO_SANE";"";"";"";"";"";"";"";"";"";""
"SH";"5";"";"";"";"12/01/2026 07:51:35";"12/01/2026 07:52:12";"";"";"";"C:\Users\felip\Desktop\CONSORCIO SANTOS\PROJETOS\TETEU-VV\-25-PROJETO ESGOTO-VERDE-E-TETEU.dwg";"A1 (1)";"";"";"PDF24";"";"A1";"0";"Plotted"
"JF";"5";"";"";"";"";"12/01/2026 07:52:12";"";"";"";"";"";"";"";"";"";"";"";"Plotted"
"JS";"6";"";"";"";"12/01/2026 08:03:19";"";"felip";"PRO_SANE";"";"";"";"";"";"";"";"";"";""
