1,10000.0000,5000.0000,100.000,CR6
2,10036.3880,5000.0000,100.096,CR6A
3,9913.0150,4963.8660,100.141,AUX1
4,9972.8900,5056.4710,101.362,AUX2
5,9927.6190,4983.5250,101.897,AUX3
6,9977.5480,5009.4830,98.974,AUX4
7,10026.0970,4999.8500,101.088,1
8,10019.6770,4995.4510,100.272,2
9,10014.4680,4995.1340,99.954,3
10,10008.3160,4996.9640,99.867,4
11,10002.6880,4999.3130,99.916,5
12,9998.8010,5001.6980,100.030,6
13,9996.5250,5003.2280,100.021,7
14,9992.8360,5005.6420,100.059,8
15,9998.3510,4998.3930,99.898,9
16,9994.8380,4994.1350,99.825,10
17,9991.6410,4990.0410,99.810,11
18,9986.5010,4983.0920,99.801,12
19,9981.1640,4976.1070,99.640,13
20,9977.7050,4969.3500,99.548,14
21,9974.8800,4966.0090,99.700,15
